steps,food_collected,time_to_find_food,time_to_first_delivery,avg_trip_length,convergence_step,explored_fraction,evaporation,seed
5000,3336,71,137,75.90197841726619,667.0,0.9784954832520585,0.01,0
5000,3600,63,122,85.6675,806.0,0.9747771312656809,0.01,1
5000,3600,64,129,69.80583333333334,789.0,0.9788449783400218,0.01,2
5000,3600,73,141,85.86,720.0,0.9789278623428194,0.01,3
5000,3600,71,141,86.11777777777777,730.0,0.9788185204896221,0.01,4
5000,2908,71,137,76.07152682255845,489.0,0.9759106776454286,0.05,0
5000,3513,63,122,84.63023057216054,678.0,0.9759515293866439,0.05,1
5000,3600,64,129,69.70194444444445,751.0,0.9788449783400218,0.05,2
5000,3600,73,141,85.79222222222222,850.0,0.9789278623428194,0.05,3
5000,3600,71,141,85.97944444444444,673.0,0.9788185204896221,0.05,4
5000,2774,71,137,73.75702956020187,471.0,0.9785754256935006,0.1,0
5000,3104,63,122,79.11469072164948,877.0,0.9787540703571238,0.1,1
5000,3600,64,128,69.7025,744.0,0.9788449783400218,0.1,2
5000,3600,73,141,85.80111111111111,1117.0,0.9789278623428194,0.1,3
5000,3542,71,141,86.02936194240542,775.0,0.9787919105907398,0.1,4
5000,1839,71,137,74.22077215878194,363.0,0.9787086630959043,0.2,0
5000,2170,63,122,76.01198156682028,1097.0,0.9787273794907383,0.2,1
5000,1952,64,128,70.02100409836065,343.0,0.9786855183777606,0.2,2
5000,1584,73,140,84.13320707070707,743.0,0.9784513567174057,0.2,3
5000,1639,71,141,84.67236119585112,1038.0,0.9787919105907398,0.2,4
5000,1424,71,137,74.81601123595506,330.0,0.9786820156154236,0.5,0
5000,1467,63,122,79.37014314928426,337.0,0.9787540703571238,0.5,1
5000,1567,64,129,70.0676451818762,335.0,0.978818401679645,0.5,2
5000,1393,73,141,85.69562096195261,444.0,0.978610191925877,0.5,3
5000,1477,71,141,85.05280974949221,827.0,0.9788185204896221,0.5,4
